Title,Price,Area,Location,type
Nguyễn Văn Quá Phường Tân Hưng Thuận Quận 12 cho thuê mặt bằng kinh doanh hơn 1.000m2,130 triệu/tháng,1.150 m²,"Quận 12, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Đường Tân Kỳ Tân Quý, Q. Tân Phú - cho thuê mặt bằng 140m2 - với diện tích rộng lớn",25 triệu/tháng,140 m²,"Tân Phú, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
Căn góc 2 mặt tiền An Dương Vương Quận 5 đoạn gần Trần Bình Trọng DT 6x20m 4 lầu chỉ 100tr/th,100 triệu/tháng,120 m²,"Quận 5, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Cho thuê mặt bằng trống mặt tiền Lý Thường Kiệt, Quận 11 - DT 270m2 - Khu vực dân cư đông đúc",70 triệu/tháng,270 m²,"Quận 11, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Mặt bằng rộng lớn DT 100m2 cho thuê ở Đường Tên Lửa, Bình Tân",20 triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Cho thuê mặt bằng 800m Phan Xích Long, Q. Phú Nhuận Giá.: 90tr/tháng",90 triệu/tháng,800 m²,"Phú Nhuận, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
Cho thuê Mặt Bằng Đường Hồng Lạc Q10 DT 300m2,50 triệu/tháng,300 m²,"Tân Bình, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Nhà lớn Ung Văn Khiêm Bình Thạnh DT 12x65m 3 lầu sân vườn giá 170 triệu/th, đoạn ĐH Hutech",170 triệu/tháng,780 m²,"Bình Thạnh, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Cho thuê MB mặt tiền Phan Văn Trị, Gò Vấp - DT 110m2",20 triệu/tháng,110 m²,"Gò Vấp, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Mặt tiền tầng trệt của tòa nhà văn phòng cho ngân hàng, trung tâm Anh Ngữ, showroom trưng bày",32 triệu/tháng,100 m²,"Tân Bình, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Cho thuê mặt bằng 80m2 lô góc 2 mặt tiền Tân Kỳ Tân Quý, Bình Tân",25 triệu/tháng,80 m²,"Bình Tân, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
"Cho thuê MB mặt tiền kinh doanh Hoàng Văn Thụ, Phường 8, Phú Nhuận - 553m2",450 triệu/tháng,963 m²,"Phú Nhuận, Hồ Chí Minh",cho-thue-sang-nhuong-cua-hang-ki-ot
