Title,Price,Area,Location,type
Cho thuê văn phòng full nội thất bàn ghế giá từ 13tr lh 0969 722 ***,13 triệu/tháng,140 m²,"Thủ Đức, Hồ Chí Minh",cho-thue-van-phong
"Toà Nhà Mặt Tiền Phường 1, Q5, DT 14x35m, 1 hầm, 1 trệt, 1 lửng, 4 lầu, sân thượng, 2 thang máy",900 triệu/tháng,2.900 m²,"Quận 5, Hồ Chí Minh",cho-thue-van-phong
Văn phòng cho thuê officetel Bình Thạnh setup full nội thất 30m2 - 16.5tr/tháng 60m2 - 20tr/tháng,20 triệu/tháng,60 m²,"Bình Thạnh, Hồ Chí Minh",cho-thue-van-phong
"Nhà MT An Dương Vương, P8, Q5, 2.427m2 đất (Nở hậu 34m), 1 trệt, 4 lầu + 1 trệt, 1 lầu, sân vườn","1,06 tỷ/tháng",5.665 m²,"Quận 5, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê full mặt bằng tầng 1, diện tích 58m2, MT Lê Thị Hồng Gấm","4,5 triệu/tháng",58 m²,"Hải Châu, Đà Nẵng",cho-thue-van-phong
"Cho thuê văn phòng full nội thất DT: 100m2 giá 12 triệu/tháng, có hầm để xe. Thang máy",12 triệu/tháng,100 m²,"Thủ Đức, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê văn phòng 120m2 sử dụng, giá 10 triệu/tháng Đường Nguyễn Thị Nhung KĐT Vạn Phúc City",10 triệu/tháng,120 m²,"Thủ Đức, Hồ Chí Minh",cho-thue-van-phong
Văn phòng cho thuê Raibow giá chỉ 10 triệu hoàn thiện 100% 0777 802 *** Quang Thụy Vinhomes,10 triệu/tháng,50 m²,"Quận 9, Hồ Chí Minh",cho-thue-van-phong
Cho thuê sàn văn phòng hạng sang 296m2 full nội thất 5 sao giá siêu tốt,378 nghìn/m²,296 m²,"Nam Từ Liêm, Hà Nội",cho-thue-van-phong
Cho thuê mặt bằng văn phòng nội thất cao cấp tại trung tâm quận Nam Từ Liêm gần Cầu Giấy,379 nghìn/m²,296 m²,"Nam Từ Liêm, Hà Nội",cho-thue-van-phong
Cho thuê sàn văn phòng lô OF03xx tầng 3 view bảo tàng Hà Nội và JW Marriot1 Vinhomes West Point,"389,5 nghìn/m²",161 m²,"Nam Từ Liêm, Hà Nội",cho-thue-van-phong
"Cho thuê toà văn phòng tại đường Ngô Gia Tự, diện tích sàn 270m2 x 7 tầng",30 triệu/tháng,270 m²,"Long Biên, Hà Nội",cho-thue-van-phong
"Cho thuê tầng 1 của biệt thự villa Dương Nội làm kho, văn phòng",6 triệu/tháng,80 m²,"Hà Đông, Hà Nội",cho-thue-van-phong
Văn phòng cho thuê trung tâm thành phố Thủ Đức 0777 802 *** Quang Thụy Vinhomes,13 triệu/tháng,144 m²,"Quận 9, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê văn phòng địa chỉ 25 Nguyễn Bỉnh Khiêm, Bến Nghé Quận 1",20 triệu/tháng,25 m²,"Quận 1, Hồ Chí Minh",cho-thue-van-phong
Cho thuê văn phòng Quận 3 - đường Võ Thị Sáu 40m2 10.000.000Đ/th,10 triệu/tháng,40 m²,"Quận 3, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê văn phòng Quận 3 - lầu 1, 45m2, giá 12.000.000 Đ/th",12 triệu/tháng,45 m²,"Quận 3, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê văn phòng Quận 10 - lầu 2, 23m2, giá 7.500.000 đ","7,5 triệu/tháng",23 m²,"Quận 10, Hồ Chí Minh",cho-thue-van-phong
Cho thuê tòa nhà Trần Não An Phú - An Khánh - Trung tâm Quận 2 hầm 6 tầng 800m2 sàn trống suốt,110 triệu/tháng,800 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê tòa nhà ngay Đảo Kim Cương trung tâm Q2 diện tích 1700m2 sàn, vị trí nâng tầm thương hiệu",180 triệu/tháng,1.700 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê nhà làm văn phòng đường 28, phường Tân Phong, Quận 7",25 triệu/tháng,64 m²,"Quận 7, Hồ Chí Minh",cho-thue-van-phong
Cho thuê toà nhà văn phòng Mỹ Toàn Phú Mỹ Hưng Quận 7,150 triệu/tháng,185 m²,"Quận 7, Hồ Chí Minh",cho-thue-van-phong
Cho thuê tầng 1 + 2 tại phố Quang Trung (gần ngã tư Văn Phú),4 triệu/tháng,40 m²,"Hà Đông, Hà Nội",cho-thue-van-phong
"Cho thuê tòa nhà văn phòng Thành Đạt 1 số 3 Lê Thánh Tông, Ngô Quyền, HP giá hợp lý. LH: 0948 889 ***",Giá thỏa thuận,14.000 m²,"Ngô Quyền, Hải Phòng",cho-thue-van-phong
"Cho thuê văn phòng mới 73m2 mặt tiền đường Số 3, P. Bình An, Q2, chỉ 299 nghìn/m2/th. LH 0989 888 ***",22 triệu/tháng,73 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
Cho thuê sàn VP 800m2 có thể chia nhỏ tùy nhu cầu sàn trống rộng rãi,100 triệu/tháng,800 m²,"Tân Bình, Hồ Chí Minh",cho-thue-van-phong
Hạ giá từ 50tr = 39tr mặt tiền Ông Ích Khiêm sàn trống suốt ốp kính xung quanh sang trọng,39 triệu/tháng,200 m²,"Quận 11, Hồ Chí Minh",cho-thue-van-phong
Hạ giá cho thuê 443m2 sàn VP Bạch Đằng ngay khu sân bay,138 triệu/tháng,443 m²,"Tân Bình, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê văn phòng 2 tầng 400m2 sử dụng gần đường Trần Lựu Phường An Phú để làm showroom, văn phòng",50 triệu/tháng,200 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
Cho thuê văn phòng thương mại nguyên căn Saritow Khu Đô Thị Sala làm văn phòng công ty chỉ 70 triệu,70 triệu/tháng,200 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
Cho thuê toà văn phòng gần đường Trần Lựu 320m2 hầm 3 sàn trống suốt không thang máy chỉ 35 triệu,35 triệu/tháng,100 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
Cho thuê nguyên toà văn phòng đường Nguyễn Hoàng 7m ngang có hầm 4 sàn thang máy chỉ có 70 triệu,70 triệu/tháng,200 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
"Cho thuê nguyên căn mặt tiền đường Vũ Tông Phan làm văn phòng công ty, showroom, hướng đông nam",55 triệu/tháng,120 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
"Toà văn phòng mới xây 400m2 hướng tây tứ trạch ngay mặt tiền đường lớn gần Trần Não, phường Bình An",45 triệu/tháng,400 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
"Toà văn phòng siêu lớn 1000m2 hầm 4 sàn trống thang máy nhập khẩu, điều hoà Daikin mới 100%",250 triệu/tháng,300 m²,"Quận 2, Hồ Chí Minh",cho-thue-van-phong
Cho thuê văn phòng 50m2 - 360m2 rẻ nhất CT4 Vimeco II - Trung Hòa - Cầu Giấy - Hà Nội,220 nghìn/m²,100 m²,"Cầu Giấy, Hà Nội",cho-thue-van-phong
"Cho thuê tầng trệt + tầng 1 trong KĐT Vạn Phúc Thủ Đức, 7x22m giá 22tr/tháng. LH 0928 976 ***",22 triệu/tháng,154 m²,"Thủ Đức, Hồ Chí Minh",cho-thue-van-phong
